Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit
1980,Southern,Uttar Pradesh,Kolkata,Landmark 1980,Beach,1713,2.6,3.5,152,Yes,Monday,Historical,No,4.17,Afternoon
1981,Central,Maharashtra,Lucknow,Landmark 1981,Observatory,1778,2.1,4.3,153,Yes,Monday,Environmental,No,3.08,Evening
1982,Northern,West Bengal,Mumbai,Landmark 1982,Beach,1973,5.0,3.7,27,No,Monday,Scientific,No,0.59,Evening
1983,Southern,Tamil Nadu,Lucknow,Landmark 1983,Beach,1726,5.8,4.6,64,Yes,Tuesday,Historical,Yes,3.13,Afternoon
1984,Central,Tamil Nadu,Kolkata,Landmark 1984,Museum,1672,3.2,4.5,194,Yes,Monday,Scientific,No,1.43,Afternoon
1985,Northern,Uttar Pradesh,Kolkata,Landmark 1985,Museum,2013,5.2,3.5,190,No,Tuesday,Cultural,Yes,1.12,Afternoon
1986,Central,Maharashtra,Delhi,Landmark 1986,War Memorial,1757,1.5,4.1,95,Yes,Thursday,Historical,Yes,2.82,Afternoon
1987,Northern,West Bengal,Mumbai,Landmark 1987,Theme Park,1934,4.5,3.4,172,No,Thursday,Environmental,Yes,4.1,Evening
1988,Southern,Tamil Nadu,Chennai,Landmark 1988,War Memorial,1587,0.9,4.5,27,Yes,Wednesday,Historical,Yes,4.08,Afternoon
1989,Central,Delhi,Kolkata,Landmark 1989,Tomb,2015,3.4,3.1,151,No,Thursday,Historical,No,2.84,Night
1990,Eastern,Maharashtra,Lucknow,Landmark 1990,Temple,1623,2.9,3.6,100,No,Thursday,Religious,No,1.47,Evening
1991,Southern,Uttar Pradesh,Lucknow,Landmark 1991,Museum,1729,3.6,4.8,150,Yes,None,Environmental,No,4.47,Morning
1992,Central,Delhi,Chennai,Landmark 1992,Theme Park,1992,2.5,3.6,9,Yes,Monday,Scientific,Yes,1.72,Morning
1993,Southern,Tamil Nadu,Delhi,Landmark 1993,Theme Park,1982,4.6,3.5,35,Yes,Monday,Historical,Yes,3.72,Morning
1994,Eastern,Tamil Nadu,Chennai,Landmark 1994,Fort,1517,5.9,4.2,36,No,Thursday,Recreational,Yes,2.54,Evening
1995,Southern,Tamil Nadu,Chennai,Landmark 1995,War Memorial,1692,5.0,3.1,134,Yes,Wednesday,Environmental,Yes,1.08,Afternoon
1996,Western,Tamil Nadu,Chennai,Landmark 1996,Fort,1819,4.0,4.7,70,No,Friday,Scientific,Yes,4.2,Evening
1997,Eastern,Maharashtra,Chennai,Landmark 1997,Temple,1634,2.5,4.1,74,Yes,Monday,Historical,No,4.61,Night
1998,Northern,Maharashtra,Mumbai,Landmark 1998,Museum,1937,4.6,4.8,49,No,None,Environmental,Yes,4.52,Afternoon
1999,Western,Tamil Nadu,Chennai,Landmark 1999,Temple,1928,4.5,3.0,111,Yes,Tuesday,Environmental,No,1.89,Night
2000,Western,Tamil Nadu,Lucknow,Landmark 2000,Temple,1791,2.5,3.1,123,No,Friday,Environmental,Yes,4.22,Afternoon
2001,Eastern,West Bengal,Kolkata,Landmark 2001,Beach,1580,2.5,3.1,8,Yes,Monday,Scientific,Yes,4.24,Evening
2002,Southern,Tamil Nadu,Mumbai,Landmark 2002,Beach,1894,1.0,4.9,142,No,Monday,Scientific,No,0.45,Morning
2003,Western,Tamil Nadu,Mumbai,Landmark 2003,War Memorial,1983,5.0,4.4,160,No,Wednesday,Environmental,Yes,4.18,Night
2004,Southern,Delhi,Kolkata,Landmark 2004,Tomb,1915,2.5,3.0,183,Yes,Friday,Cultural,Yes,2.0,Morning
2005,Western,Uttar Pradesh,Lucknow,Landmark 2005,Fort,1929,0.8,4.8,57,Yes,None,Cultural,Yes,2.0,Morning
2006,Northern,Uttar Pradesh,Chennai,Landmark 2006,Fort,1638,1.3,4.3,124,No,Wednesday,Scientific,No,1.45,Afternoon
2007,Northern,Maharashtra,Mumbai,Landmark 2007,Theme Park,1812,3.1,4.8,101,Yes,Monday,Religious,No,1.65,Evening
2008,Central,West Bengal,Lucknow,Landmark 2008,Observatory,1657,4.3,3.6,102,Yes,Thursday,Cultural,Yes,3.24,Evening
2009,Northern,Delhi,Chennai,Landmark 2009,Fort,1891,3.8,4.5,141,Yes,Wednesday,Religious,No,0.85,Night
2010,Eastern,Maharashtra,Mumbai,Landmark 2010,Museum,1804,2.1,4.7,18,No,Wednesday,Environmental,No,3.45,Afternoon
2011,Southern,Delhi,Mumbai,Landmark 2011,Beach,1772,5.8,3.3,0,Yes,Monday,Cultural,Yes,2.59,Morning
2012,Northern,Delhi,Chennai,Landmark 2012,War Memorial,1647,3.8,3.8,197,Yes,Wednesday,Recreational,No,3.13,Afternoon
2013,Northern,Maharashtra,Delhi,Landmark 2013,Temple,1815,4.5,4.2,77,Yes,Monday,Scientific,Yes,2.4,Evening
2014,Southern,Tamil Nadu,Chennai,Landmark 2014,Temple,1865,5.1,3.9,23,Yes,None,Recreational,Yes,1.86,Night
2015,Western,Tamil Nadu,Chennai,Landmark 2015,Beach,1862,3.2,3.6,37,No,None,Religious,No,0.23,Afternoon
2016,Central,West Bengal,Mumbai,Landmark 2016,Temple,1564,1.6,4.0,47,Yes,Thursday,Religious,No,4.02,Evening
2017,Southern,Uttar Pradesh,Delhi,Landmark 2017,War Memorial,2006,4.8,4.7,17,No,Monday,Historical,Yes,2.82,Morning
2018,Northern,Uttar Pradesh,Chennai,Landmark 2018,Fort,1548,0.7,4.8,121,Yes,Monday,Historical,No,3.78,Morning
2019,Southern,Maharashtra,Mumbai,Landmark 2019,Temple,1883,2.8,3.9,156,No,Friday,Religious,No,0.48,Morning
2020,Southern,Uttar Pradesh,Kolkata,Landmark 2020,Tomb,1543,4.7,4.4,74,No,Friday,Recreational,Yes,2.79,Evening
2021,Central,West Bengal,Mumbai,Landmark 2021,Museum,2011,1.9,4.1,137,No,Wednesday,Scientific,No,4.66,Night
2022,Eastern,Tamil Nadu,Lucknow,Landmark 2022,War Memorial,1757,5.5,3.2,184,No,None,Recreational,Yes,3.93,Evening
2023,Southern,West Bengal,Chennai,Landmark 2023,Fort,1756,1.9,3.9,190,No,Monday,Scientific,Yes,0.25,Afternoon
2024,Eastern,Tamil Nadu,Delhi,Landmark 2024,Tomb,1643,4.5,3.7,74,Yes,Wednesday,Recreational,Yes,2.2,Afternoon
2025,Northern,Maharashtra,Delhi,Landmark 2025,Theme Park,1583,3.8,4.5,199,Yes,Wednesday,Recreational,Yes,3.5,Morning
2026,Western,Maharashtra,Delhi,Landmark 2026,Temple,1694,4.8,4.0,182,No,Monday,Environmental,Yes,1.16,Evening
2027,Northern,Tamil Nadu,Lucknow,Landmark 2027,Museum,1971,3.5,3.6,24,Yes,Wednesday,Scientific,Yes,0.41,Night
2028,Central,Tamil Nadu,Mumbai,Landmark 2028,Fort,1786,4.3,3.5,127,No,None,Cultural,Yes,3.46,Afternoon
2029,Southern,Tamil Nadu,Mumbai,Landmark 2029,Tomb,1563,5.8,3.6,120,Yes,Thursday,Recreational,No,0.38,Evening
2030,Southern,West Bengal,Kolkata,Landmark 2030,Temple,1808,5.1,5.0,189,No,Wednesday,Recreational,Yes,2.7,Night
2031,Central,Tamil Nadu,Delhi,Landmark 2031,War Memorial,2006,0.9,4.1,93,No,None,Scientific,Yes,2.96,Afternoon
2032,Northern,West Bengal,Delhi,Landmark 2032,Temple,1827,4.9,3.4,58,Yes,Friday,Religious,Yes,0.55,Afternoon
2033,Eastern,Tamil Nadu,Kolkata,Landmark 2033,Tomb,1719,3.5,3.1,108,No,Friday,Religious,No,4.92,Night
2034,Southern,Maharashtra,Delhi,Landmark 2034,Temple,1822,1.9,3.8,195,No,Wednesday,Environmental,No,1.23,Afternoon
2035,Central,Tamil Nadu,Kolkata,Landmark 2035,Theme Park,1913,0.5,4.6,85,No,Tuesday,Recreational,No,4.74,Evening
2036,Southern,Maharashtra,Lucknow,Landmark 2036,Museum,1805,1.8,4.6,3,Yes,Thursday,Environmental,Yes,1.31,Evening
2037,Southern,Uttar Pradesh,Mumbai,Landmark 2037,Theme Park,1721,2.4,3.7,122,No,Tuesday,Religious,No,2.76,Evening
2038,Central,Uttar Pradesh,Delhi,Landmark 2038,Museum,1584,3.4,3.5,72,Yes,Thursday,Recreational,Yes,2.76,Night
2039,Western,Uttar Pradesh,Mumbai,Landmark 2039,Theme Park,1995,2.7,3.1,145,No,Tuesday,Historical,Yes,2.6,Evening
2040,Northern,West Bengal,Chennai,Landmark 2040,Temple,1859,1.7,3.3,150,No,Monday,Scientific,No,3.04,Afternoon
2041,Northern,Maharashtra,Kolkata,Landmark 2041,War Memorial,1591,0.8,4.8,154,No,None,Environmental,No,1.77,Morning
2042,Central,Delhi,Delhi,Landmark 2042,War Memorial,2007,1.4,4.5,43,No,None,Environmental,No,4.31,Morning
2043,Western,Maharashtra,Chennai,Landmark 2043,War Memorial,1850,2.3,3.5,167,No,Wednesday,Recreational,Yes,3.1,Night
2044,Northern,Delhi,Mumbai,Landmark 2044,Tomb,1941,4.6,3.7,195,Yes,None,Cultural,No,3.57,Evening
2045,Central,West Bengal,Kolkata,Landmark 2045,Temple,1580,5.2,3.4,115,Yes,Friday,Environmental,Yes,2.29,Afternoon
2046,Western,Delhi,Mumbai,Landmark 2046,Museum,1580,2.7,5.0,100,No,None,Scientific,Yes,4.34,Afternoon
2047,Northern,Tamil Nadu,Lucknow,Landmark 2047,Fort,1815,5.9,4.1,67,No,Friday,Cultural,No,2.81,Afternoon
2048,Northern,Tamil Nadu,Chennai,Landmark 2048,Theme Park,1707,3.4,3.8,29,Yes,Monday,Historical,Yes,0.65,Evening
2049,Central,Maharashtra,Mumbai,Landmark 2049,Tomb,1704,3.1,3.2,180,No,Wednesday,Historical,No,3.04,Morning
2050,Eastern,West Bengal,Delhi,Landmark 2050,Fort,1928,1.5,4.0,89,Yes,Friday,Recreational,No,3.35,Afternoon
2051,Northern,Uttar Pradesh,Chennai,Landmark 2051,Theme Park,2010,1.2,3.8,144,No,Thursday,Religious,No,0.92,Afternoon
2052,Southern,Delhi,Delhi,Landmark 2052,Fort,1521,4.3,4.6,101,No,None,Historical,No,3.32,Afternoon
2053,Southern,Delhi,Chennai,Landmark 2053,Museum,1698,1.2,4.9,60,No,Monday,Environmental,No,4.77,Afternoon
2054,Southern,Delhi,Chennai,Landmark 2054,Beach,1854,3.3,4.3,176,No,Wednesday,Religious,No,3.87,Night
2055,Southern,Uttar Pradesh,Lucknow,Landmark 2055,Fort,1552,1.6,4.3,108,Yes,Wednesday,Recreational,No,1.93,Evening
2056,Southern,Tamil Nadu,Chennai,Landmark 2056,Theme Park,1844,4.8,3.4,33,Yes,Wednesday,Environmental,No,1.65,Evening
2057,Northern,Uttar Pradesh,Chennai,Landmark 2057,Temple,1642,2.3,4.0,84,No,Friday,Religious,No,4.04,Morning
2058,Eastern,Tamil Nadu,Kolkata,Landmark 2058,Temple,1973,2.8,5.0,11,No,Friday,Recreational,Yes,2.01,Morning
2059,Southern,Maharashtra,Chennai,Landmark 2059,War Memorial,1943,1.0,4.5,140,Yes,Tuesday,Recreational,No,1.17,Afternoon
2060,Southern,Maharashtra,Mumbai,Landmark 2060,Beach,1871,4.2,3.3,78,Yes,None,Religious,No,0.4,Night
2061,Western,Uttar Pradesh,Kolkata,Landmark 2061,War Memorial,1691,2.3,4.0,148,No,Friday,Historical,Yes,1.0,Afternoon
2062,Western,Maharashtra,Mumbai,Landmark 2062,Museum,1887,4.9,4.2,179,No,Friday,Cultural,Yes,1.57,Night
2063,Western,West Bengal,Chennai,Landmark 2063,War Memorial,1691,4.5,4.2,182,Yes,Tuesday,Religious,No,4.7,Afternoon
2064,Northern,West Bengal,Lucknow,Landmark 2064,Observatory,1509,1.9,3.4,89,No,None,Environmental,Yes,1.83,Evening
2065,Northern,Tamil Nadu,Kolkata,Landmark 2065,Fort,1631,3.9,3.2,59,No,None,Cultural,Yes,0.35,Morning
2066,Western,Uttar Pradesh,Mumbai,Landmark 2066,Beach,1513,5.4,4.1,163,Yes,Monday,Recreational,Yes,1.94,Afternoon
2067,Central,West Bengal,Chennai,Landmark 2067,Temple,1746,5.9,4.3,99,Yes,Friday,Recreational,Yes,1.8,Afternoon
2068,Central,Uttar Pradesh,Delhi,Landmark 2068,Fort,1998,2.6,3.9,11,Yes,Tuesday,Environmental,Yes,3.8,Night
2069,Central,Tamil Nadu,Mumbai,Landmark 2069,Museum,1982,1.0,3.0,14,No,Friday,Environmental,No,4.63,Night
2070,Western,West Bengal,Mumbai,Landmark 2070,Observatory,1634,1.7,3.0,72,Yes,Wednesday,Environmental,Yes,2.32,Evening
2071,Western,Delhi,Delhi,Landmark 2071,Beach,1944,1.4,3.6,160,No,Friday,Cultural,Yes,1.64,Morning
2072,Northern,Maharashtra,Delhi,Landmark 2072,Fort,1759,0.6,3.7,61,Yes,Friday,Religious,No,1.99,Evening
2073,Eastern,Uttar Pradesh,Kolkata,Landmark 2073,Theme Park,1974,4.4,3.0,136,No,Friday,Cultural,No,3.0,Night
2074,Western,Delhi,Chennai,Landmark 2074,Theme Park,1509,3.8,3.5,16,No,Tuesday,Environmental,Yes,3.35,Afternoon
2075,Central,Delhi,Mumbai,Landmark 2075,War Memorial,1616,4.5,4.4,141,Yes,Wednesday,Religious,Yes,4.74,Morning
2076,Eastern,Delhi,Delhi,Landmark 2076,War Memorial,1697,5.9,3.3,189,No,Wednesday,Scientific,No,1.47,Evening
2077,Southern,Tamil Nadu,Mumbai,Landmark 2077,Museum,1919,5.5,4.8,72,Yes,Wednesday,Religious,No,0.46,Morning
2078,Central,Tamil Nadu,Kolkata,Landmark 2078,Observatory,1811,1.5,4.4,45,No,None,Religious,Yes,3.88,Afternoon
2079,Central,Delhi,Chennai,Landmark 2079,Theme Park,1750,2.8,3.7,77,No,None,Religious,No,1.49,Night
2080,Western,Tamil Nadu,Chennai,Landmark 2080,War Memorial,1822,2.6,4.6,135,No,Tuesday,Religious,No,3.77,Morning
2081,Eastern,Delhi,Mumbai,Landmark 2081,Museum,1916,2.8,4.5,65,No,None,Scientific,Yes,1.83,Morning
2082,Central,West Bengal,Delhi,Landmark 2082,Temple,1654,2.8,4.0,94,No,Tuesday,Environmental,Yes,2.49,Morning
2083,Southern,West Bengal,Mumbai,Landmark 2083,Tomb,1879,3.8,3.8,170,Yes,Wednesday,Cultural,Yes,0.85,Evening
2084,Eastern,Maharashtra,Lucknow,Landmark 2084,War Memorial,1932,4.1,4.6,158,Yes,Wednesday,Cultural,No,3.51,Night
2085,Northern,Uttar Pradesh,Lucknow,Landmark 2085,Fort,1885,3.8,3.2,112,Yes,Tuesday,Scientific,Yes,1.75,Morning
2086,Eastern,West Bengal,Delhi,Landmark 2086,Beach,1718,2.2,4.5,30,No,Monday,Recreational,Yes,2.45,Night
2087,Eastern,Maharashtra,Chennai,Landmark 2087,Observatory,1621,4.4,3.1,53,No,Friday,Cultural,Yes,3.25,Evening
2088,Southern,Maharashtra,Delhi,Landmark 2088,War Memorial,1687,5.7,4.2,155,Yes,Monday,Religious,No,3.97,Evening
2089,Central,Uttar Pradesh,Lucknow,Landmark 2089,Temple,1620,2.7,3.2,169,No,Thursday,Cultural,No,2.07,Evening
2090,Western,Uttar Pradesh,Chennai,Landmark 2090,Observatory,1905,2.9,4.1,62,Yes,Wednesday,Religious,No,1.73,Afternoon
2091,Northern,Uttar Pradesh,Delhi,Landmark 2091,Observatory,1618,4.4,4.0,159,No,None,Scientific,No,4.24,Night
2092,Western,Uttar Pradesh,Mumbai,Landmark 2092,Temple,1951,3.9,3.2,84,Yes,Friday,Cultural,Yes,1.57,Night
2093,Northern,West Bengal,Delhi,Landmark 2093,Fort,1877,4.1,4.9,89,No,None,Historical,No,0.59,Night
2094,Western,Uttar Pradesh,Chennai,Landmark 2094,War Memorial,2014,3.5,3.8,6,Yes,Tuesday,Recreational,No,4.88,Evening
2095,Western,West Bengal,Kolkata,Landmark 2095,Temple,1870,1.0,3.4,165,No,Wednesday,Religious,No,3.43,Evening
2096,Western,Maharashtra,Delhi,Landmark 2096,Theme Park,2012,4.5,3.3,54,No,Thursday,Cultural,No,3.56,Evening
2097,Southern,West Bengal,Lucknow,Landmark 2097,Beach,1965,3.0,5.0,124,Yes,Tuesday,Cultural,Yes,2.41,Morning
2098,Eastern,Maharashtra,Delhi,Landmark 2098,Theme Park,1748,1.6,4.4,99,Yes,None,Recreational,Yes,0.58,Afternoon
2099,Southern,Delhi,Mumbai,Landmark 2099,Tomb,1688,1.7,5.0,6,Yes,Thursday,Scientific,Yes,2.02,Morning
2100,Eastern,West Bengal,Mumbai,Landmark 2100,Temple,1506,2.1,4.1,116,No,Thursday,Historical,Yes,2.98,Afternoon
2101,Western,Uttar Pradesh,Kolkata,Landmark 2101,War Memorial,1800,5.0,4.8,26,No,Monday,Religious,Yes,2.7,Afternoon
2102,Western,West Bengal,Delhi,Landmark 2102,Fort,2019,2.1,3.5,157,No,Tuesday,Historical,No,3.53,Afternoon
2103,Eastern,West Bengal,Lucknow,Landmark 2103,Museum,1664,5.6,3.2,31,Yes,None,Environmental,Yes,0.86,Evening
2104,Central,West Bengal,Lucknow,Landmark 2104,War Memorial,1774,2.2,3.3,42,Yes,Friday,Historical,Yes,0.18,Morning
2105,Eastern,Tamil Nadu,Delhi,Landmark 2105,War Memorial,1565,5.8,4.6,126,Yes,Wednesday,Religious,Yes,2.48,Evening
2106,Western,Maharashtra,Lucknow,Landmark 2106,Fort,1924,3.1,4.7,120,No,Tuesday,Religious,No,3.94,Evening
2107,Central,Delhi,Kolkata,Landmark 2107,Fort,1685,4.0,3.3,86,No,Tuesday,Scientific,Yes,4.24,Afternoon
2108,Central,Tamil Nadu,Kolkata,Landmark 2108,Theme Park,1972,5.1,4.0,51,Yes,Thursday,Religious,Yes,1.24,Night
2109,Southern,Uttar Pradesh,Delhi,Landmark 2109,Theme Park,1588,2.5,3.9,100,No,Wednesday,Environmental,Yes,4.19,Evening
2110,Western,Tamil Nadu,Delhi,Landmark 2110,Fort,1904,2.7,4.5,36,Yes,Thursday,Recreational,No,1.93,Morning
2111,Central,Delhi,Chennai,Landmark 2111,Theme Park,1993,2.9,4.1,182,Yes,None,Environmental,No,2.25,Evening
2112,Southern,West Bengal,Lucknow,Landmark 2112,Temple,1679,2.4,4.7,133,Yes,Tuesday,Cultural,Yes,3.62,Evening
2113,Eastern,Delhi,Lucknow,Landmark 2113,Tomb,1843,1.8,4.4,191,Yes,Friday,Recreational,No,1.95,Night
2114,Northern,Maharashtra,Lucknow,Landmark 2114,Temple,1594,1.6,4.8,169,No,Friday,Cultural,Yes,1.89,Night
2115,Central,West Bengal,Chennai,Landmark 2115,Tomb,1576,3.7,5.0,13,Yes,Wednesday,Religious,Yes,2.13,Afternoon
2116,Eastern,Uttar Pradesh,Kolkata,Landmark 2116,Tomb,1855,5.7,4.3,4,Yes,Monday,Scientific,No,3.39,Evening
2117,Central,Delhi,Delhi,Landmark 2117,Fort,1604,0.6,3.0,168,Yes,Monday,Scientific,Yes,2.24,Evening
2118,Southern,West Bengal,Mumbai,Landmark 2118,Tomb,1553,1.2,4.0,80,No,None,Religious,Yes,2.97,Evening
2119,Eastern,Maharashtra,Delhi,Landmark 2119,Observatory,1514,1.0,3.2,138,Yes,Monday,Recreational,Yes,3.55,Night
2120,Central,Uttar Pradesh,Delhi,Landmark 2120,Theme Park,1649,4.2,3.1,110,No,Friday,Environmental,Yes,0.52,Night
2121,Eastern,West Bengal,Kolkata,Landmark 2121,War Memorial,1836,5.0,4.1,116,No,Thursday,Environmental,Yes,3.57,Afternoon
2122,Southern,Maharashtra,Kolkata,Landmark 2122,Observatory,1865,4.9,3.4,123,Yes,Friday,Environmental,No,2.25,Evening
2123,Eastern,Uttar Pradesh,Lucknow,Landmark 2123,Tomb,1590,0.9,4.2,125,No,Friday,Religious,Yes,3.57,Afternoon
2124,Southern,Uttar Pradesh,Mumbai,Landmark 2124,Museum,1728,1.8,3.6,99,No,None,Religious,Yes,2.51,Night
2125,Eastern,Maharashtra,Mumbai,Landmark 2125,Tomb,1966,5.4,3.5,64,Yes,Thursday,Historical,No,1.98,Evening
2126,Southern,Maharashtra,Kolkata,Landmark 2126,Fort,1847,4.7,3.1,184,Yes,Wednesday,Environmental,No,2.5,Evening
2127,Western,Maharashtra,Kolkata,Landmark 2127,Beach,1582,3.3,3.2,189,Yes,Thursday,Historical,Yes,1.0,Night
2128,Southern,Uttar Pradesh,Lucknow,Landmark 2128,Tomb,1868,3.0,4.3,74,No,Monday,Historical,Yes,3.89,Afternoon
2129,Western,Maharashtra,Lucknow,Landmark 2129,Beach,1949,6.0,3.3,38,Yes,Monday,Historical,Yes,4.94,Evening
2130,Western,Maharashtra,Mumbai,Landmark 2130,Fort,1500,3.8,4.5,22,No,None,Recreational,Yes,0.2,Evening
2131,Central,West Bengal,Lucknow,Landmark 2131,War Memorial,1595,4.2,4.2,1,Yes,Friday,Historical,No,3.42,Evening
2132,Northern,Delhi,Kolkata,Landmark 2132,Temple,1738,5.6,3.9,136,No,Tuesday,Historical,No,2.87,Evening
2133,Central,Uttar Pradesh,Chennai,Landmark 2133,Fort,1672,4.8,4.7,102,No,Wednesday,Historical,No,2.64,Night
2134,Northern,Tamil Nadu,Kolkata,Landmark 2134,Observatory,1794,0.6,4.6,116,Yes,Friday,Recreational,No,2.93,Morning
2135,Southern,Maharashtra,Kolkata,Landmark 2135,Temple,1804,2.1,3.6,11,Yes,Tuesday,Religious,No,2.52,Morning
2136,Central,Delhi,Chennai,Landmark 2136,Temple,1950,1.8,3.7,85,Yes,Friday,Scientific,No,3.13,Afternoon
2137,Northern,Maharashtra,Chennai,Landmark 2137,War Memorial,1638,5.6,3.3,188,Yes,Friday,Historical,No,4.99,Evening
2138,Northern,Maharashtra,Kolkata,Landmark 2138,Tomb,1917,4.1,4.4,29,Yes,Monday,Recreational,Yes,2.83,Afternoon
2139,Central,West Bengal,Kolkata,Landmark 2139,Theme Park,1873,5.8,4.8,99,Yes,Monday,Cultural,No,3.63,Evening
2140,Western,West Bengal,Chennai,Landmark 2140,Observatory,1552,5.1,3.0,163,No,None,Religious,Yes,4.71,Evening
2141,Northern,Tamil Nadu,Mumbai,Landmark 2141,War Memorial,1936,2.4,4.6,152,Yes,Tuesday,Scientific,Yes,3.97,Evening
2142,Eastern,Delhi,Delhi,Landmark 2142,War Memorial,1748,3.1,3.2,97,Yes,Wednesday,Recreational,Yes,1.37,Morning
2143,Northern,Maharashtra,Mumbai,Landmark 2143,Museum,1769,5.5,4.6,50,Yes,Tuesday,Religious,Yes,4.09,Evening
2144,Western,Maharashtra,Chennai,Landmark 2144,Museum,1725,1.8,3.0,182,No,Friday,Scientific,Yes,0.48,Morning
2145,Southern,Uttar Pradesh,Mumbai,Landmark 2145,Tomb,1846,3.1,4.8,21,Yes,Wednesday,Religious,No,0.96,Evening
2146,Western,West Bengal,Mumbai,Landmark 2146,Fort,1614,3.5,3.3,90,No,Monday,Cultural,Yes,2.55,Morning
2147,Eastern,Tamil Nadu,Delhi,Landmark 2147,Theme Park,1854,4.7,4.0,192,Yes,Wednesday,Scientific,Yes,1.77,Morning
2148,Eastern,Uttar Pradesh,Kolkata,Landmark 2148,Fort,1988,5.7,3.6,56,Yes,Monday,Environmental,No,4.93,Morning
2149,Northern,West Bengal,Chennai,Landmark 2149,Beach,1669,2.8,4.3,19,No,Friday,Recreational,No,1.01,Evening
2150,Southern,Uttar Pradesh,Mumbai,Landmark 2150,Theme Park,1805,3.1,5.0,29,No,Thursday,Scientific,Yes,2.09,Night
2151,Southern,Delhi,Delhi,Landmark 2151,Temple,1962,6.0,3.9,48,Yes,Tuesday,Environmental,Yes,3.61,Afternoon
2152,Central,Delhi,Mumbai,Landmark 2152,Temple,1624,3.3,3.7,23,Yes,Thursday,Scientific,Yes,3.03,Morning
2153,Northern,Delhi,Mumbai,Landmark 2153,Observatory,1921,3.3,4.5,33,No,Tuesday,Historical,No,0.12,Night
2154,Western,Uttar Pradesh,Chennai,Landmark 2154,Observatory,1983,4.3,4.7,197,No,Tuesday,Religious,Yes,3.81,Night
2155,Southern,Uttar Pradesh,Delhi,Landmark 2155,Temple,1723,0.7,3.2,168,No,Tuesday,Historical,Yes,1.74,Night
2156,Central,Delhi,Chennai,Landmark 2156,Fort,1809,3.2,3.2,129,No,Wednesday,Religious,No,2.06,Afternoon
2157,Central,Delhi,Lucknow,Landmark 2157,Observatory,1561,5.5,3.4,139,Yes,Friday,Historical,Yes,0.92,Night
2158,Southern,Tamil Nadu,Chennai,Landmark 2158,Observatory,1827,0.6,4.2,26,No,Friday,Recreational,No,4.1,Afternoon
2159,Southern,West Bengal,Lucknow,Landmark 2159,Temple,1689,5.1,4.2,198,Yes,Monday,Historical,Yes,3.59,Night
2160,Southern,Delhi,Chennai,Landmark 2160,Tomb,1842,5.4,4.6,47,Yes,None,Religious,No,0.77,Evening
2161,Northern,Maharashtra,Chennai,Landmark 2161,Beach,1775,2.3,3.2,128,No,None,Historical,No,3.53,Morning
2162,Central,Uttar Pradesh,Delhi,Landmark 2162,Tomb,1871,6.0,4.8,50,No,None,Recreational,No,1.15,Morning
2163,Northern,Tamil Nadu,Chennai,Landmark 2163,Fort,1778,1.1,3.0,152,Yes,Friday,Historical,No,1.77,Afternoon
2164,Southern,Maharashtra,Lucknow,Landmark 2164,Fort,1931,0.7,4.3,186,No,Tuesday,Recreational,Yes,4.66,Afternoon
2165,Northern,West Bengal,Lucknow,Landmark 2165,Observatory,1646,4.5,3.7,118,No,Tuesday,Scientific,Yes,1.52,Night
2166,Central,Tamil Nadu,Kolkata,Landmark 2166,Tomb,1764,5.9,3.5,170,No,None,Cultural,No,1.1,Night
2167,Central,Tamil Nadu,Kolkata,Landmark 2167,Fort,1970,4.1,4.5,78,Yes,None,Environmental,No,1.51,Morning
2168,Eastern,Maharashtra,Chennai,Landmark 2168,Museum,1526,6.0,4.4,101,No,Thursday,Environmental,No,3.54,Morning
2169,Northern,West Bengal,Chennai,Landmark 2169,Museum,1890,3.8,4.2,145,Yes,None,Cultural,No,1.39,Afternoon
2170,Western,Tamil Nadu,Mumbai,Landmark 2170,War Memorial,1812,0.7,4.6,154,No,None,Historical,No,3.58,Morning
2171,Southern,Maharashtra,Mumbai,Landmark 2171,Theme Park,1686,5.9,4.8,46,Yes,Monday,Scientific,Yes,1.62,Morning
2172,Central,Maharashtra,Delhi,Landmark 2172,Observatory,1585,5.7,3.1,142,Yes,Monday,Scientific,Yes,2.39,Evening
2173,Southern,Maharashtra,Kolkata,Landmark 2173,War Memorial,1561,5.4,4.9,7,Yes,Friday,Historical,No,4.22,Morning
2174,Western,Delhi,Delhi,Landmark 2174,War Memorial,1667,2.9,3.7,122,Yes,Wednesday,Scientific,No,3.05,Morning
2175,Northern,Uttar Pradesh,Kolkata,Landmark 2175,Temple,1805,4.2,3.9,84,Yes,Monday,Scientific,No,1.61,Evening
2176,Southern,Tamil Nadu,Kolkata,Landmark 2176,Fort,2017,2.8,4.8,77,Yes,Thursday,Cultural,No,1.4,Evening
2177,Eastern,Uttar Pradesh,Kolkata,Landmark 2177,Museum,1680,1.8,3.9,111,No,Tuesday,Religious,No,1.96,Night
2178,Eastern,Delhi,Chennai,Landmark 2178,Theme Park,1991,1.7,3.4,60,Yes,Monday,Scientific,No,3.48,Afternoon
2179,Central,Delhi,Lucknow,Landmark 2179,Observatory,1978,1.4,4.3,79,Yes,Monday,Recreational,Yes,4.75,Evening
2180,Western,Uttar Pradesh,Kolkata,Landmark 2180,Observatory,1526,5.9,4.3,26,No,Thursday,Scientific,No,4.96,Night
